text,num,gender,f_form,fname,m_form
Зыков,4553,m,Зыкова,,
Ахметов,4553,m,Ахметова,Ахмет,
Шаров,4547,m,Шарова,,
Зарипов,4544,m,Зарипова,,
Кулешов,4541,m,Кулешова,,
Решетников,4523,m,Решетникова,,
Зуева,4510,f,,,Зуев
Фирсов,4502,m,Фирсова,Фирс,
Карапетян,4501,u,,,
Булатов,4494,m,Булатова,Булат,
Степаненко,4478,u,,,
Долгих,4477,u,,,
Бородина,4467,f,,,Бородин
Величко,4461,u,,,
Гордеева,4448,f,,,Гордеев
Магомедова,4441,f,,Магомед,Магомедов
Бочаров,4436,m,Бочарова,,
Рыжков,4426,m,Рыжкова,,
Власенко,4414,u,,,
Шабанов,4412,m,Шабанова,Шабан,
Сухов,4385,m,Сухова,,
Лобанова,4378,f,,,Лобанов
Герасименко,4362,u,,,
Бабенко,4361,u,,,
Щукин,4352,m,Щукина,,
Русаков,4345,m,Русакова,,
Шишкина,4344,f,,,Шишкин
Мусаев,4341,m,Мусаева,,
Мороз,4330,u,,,
Сизов,4328,m,Сизова,,
Еремеев,4320,m,Еремеева,,
Артамонов,4314,m,Артамонова,Артамон,
Латыпов,4311,m,Латыпова,Латып,
Козырев,4310,m,Козырева,,
Прокопенко,4294,u,,,
Зинченко,4291,u,,,
Лопатин,4281,m,Лопатина,,
Баженов,4269,m,Баженова,Бажен,
Беспалов,4265,m,Беспалова,,
Симонова,4259,f,,Симон,Симонов
Иващенко,4254,u,,,
Зубов,4248,m,Зубова,,
Болдырев,4243,m,Болдырева,,
Зубарев,4228,m,Зубарева,,
Науменко,4227,u,,,
Токарева,4222,f,,,Токарев
Золотарев,4214,m,Золотарева,,
Цой,4213,m,,,
Хайруллин,4212,m,Хайруллина,,
Максименко,4180,u,,,
Обухов,4177,m,Обухова,,
Краснова,4171,f,,,Краснов
Рябова,4160,f,,,Рябов
Васин,4159,m,Васина,,
Зверева,4157,f,,,Зверев
Стариков,4152,m,Старикова,,
Валиев,4147,m,Валиева,,
Казанцева,4140,f,,,Казанцев
Пантелеев,4140,m,Пантелеева,,
Сафронова,4134,f,,Сафрон,Сафронов
Белякова,4128,f,,,Беляков
Погосян,4123,u,,,
Лавров,4122,m,Лаврова,Лавр,
Голованов,4121,m,Голованова,,
Некрасова,4117,f,,,Некрасов
Оганесян,4111,u,,,
Лапшин,4107,m,Лапшина,,
Лукьянова,4107,f,,Лукьян,Лукьянов
Анохин,4104,m,Анохина,,
Ибрагимова,4099,f,,Ибрагим,Ибрагимов
Леденев,4093,m,Леденева,,
Гордиенко,4093,u,,,
Фомичев,4086,m,Фомичева,,
Столяров,4079,m,Столярова,,
Бочкарев,4072,m,Бочкарева,,
Куприянов,4065,m,Куприянова,Куприян,
Митин,4060,m,Митина,,
Рогов,4058,m,Рогова,,
Якимов,4056,m,Якимова,Яким,
Галкина,4056,f,,,Галкин
Шевчук,4049,u,,,
Мартыненко,4048,u,,,
Демина,4044,f,,,Демин
Ищенко,4038,u,,,
Рязанов,4034,m,Рязанова,,
Костина,4027,f,,,Костин
Громова,4005,f,,,Громов
Сотников,4005,m,Сотникова,,
Паршин,3987,m,Паршина,,
Игнатьева,3986,f,,,Игнатьев
Синицын,3984,m,Синицына,,
Орехов,3982,m,Орехова,,
Румянцева,3981,f,,,Румянцев
Быстров,3979,m,Быстрова,,
Никулина,3970,f,,,Никулин
Баринов,3967,m,Баринова,,
