text,num,lett,gender
Ника,403,Н,f
Ен,403,Е,m
Разиф,402,Р,m
Самсон,401,С,m
Ованес,401,О,m
Ада,401,А,f
Шахбан,400,Ш,m
Зарета,400,З,f
Эльвир,400,Э,m
Фируз,399,Ф,m
Артавазд,399,А,m
Райса,399,Р,f
Лева,398,Л,m
Сара,398,С,f
Фануза,397,Ф,f
Иванна,396,И,f
Трофим,393,Т,m
Юpий,393,,m
Нурбек,392,Н,m
Васил,392,В,m
Нурислам,391,Н,m
Гамид,391,Г,m
Дана,391,Д,f
Валерик,390,В,m
Фатих,390,Ф,m
Алдар,390,,m
Айвар,389,А,m
Казим,389,К,m
Каро,388,К,m
Соня,388,С,f
Арменуи,388,А,f
Анджела,388,А,f
Даниял,387,Д,m
Виген,387,В,m
Азрет,386,А,m
Миша,386,М,m
Коба,386,К,m
Карл,385,К,m
Билал,385,Б,m
Сталина,384,С,f
Климентий,383,К,m
Аяз,383,А,m
Этибар,382,Э,m
Габил,382,Г,m
Гульсум,382,Г,f
Рида,382,Р,f
Мовсар,382,М,m
Мариям,381,М,f
Салима,381,С,f
Хизри,378,Х,m
Мурадин,378,М,m
Мери,376,М,f
Диля,376,Д,f
Фаузия,376,Ф,f
Зина,375,З,f
Нона,375,Н,f
Винера,375,В,f
Алесандр,375,А,m
Лечи,374,Л,m
Темирлан,373,Т,m
Айдер,372,А,m
Адиля,372,А,f
Джамшед,371,Д,m
Айслу,371,А,f
Амалия,370,А,f
Музаффар,369,М,m
Муртазали,369,М,m
Рузана,369,Р,f
Генрик,369,Г,m
Мамикон,369,М,m
Владик,368,В,m
Ильсияр,367,И,f
Вэй,367,В,u
Ринад,367,Р,m
Гриша,366,Г,m
Гузаль,365,Г,f
Фидаиль,364,Ф,m
Гарий,364,Г,m
Грачья,363,Г,m
Зульфат,363,З,m
Флера,363,Ф,f
Петимат,362,П,f
Манук,361,М,m
Аветис,360,А,m
Овсеп,360,О,m
Мадинат,359,М,f
Бахтиер,359,Б,m
Фларит,359,Ф,m
Аревик,358,А,f
Сакинат,357,С,f
Рубик,357,Р,m
Шамсудин,357,Ш,m
Нуне,356,Н,f
Рена,356,Р,f
Таир,356,Т,m
Агафья,356,А,f
Сусана,354,С,f
Ирада,354,И,f
Зариф,354,З,m
Исмагил,354,И,m
Джемал,353,Д,m
Кахабер,353,К,m
Эмир,353,Э,m
Ризида,353,Р,f
Мисак,352,М,m
Сауле,352,С,f
Виолета,352,В,f
Роксана,351,Р,f
Рузиль,351,Р,m
Загит,351,З,m
Анис,351,А,m
Гумер,351,Г,m
Кристине,350,,f
Захид,350,З,m
Айказ,350,А,m
Айнура,350,А,f
Гузяль,350,Г,f
Суфия,350,С,f
Разина,349,Р,f
Игоpь,349,,m
Исхак,348,И,m
Ляйля,347,Л,f
Саак,347,С,m
